vessel_id,vessel_name,vessel_flag,vessel_type,ssvid,event_start,event_end,duration_hrs,avg_speed_knots,total_distance_km,bbox_area_km2,net_displacement_ratio,lat,lon,dist_shore_km,dist_port_km,in_mpa,in_mpa_no_take,in_mpa_partial,on_high_seas,eez,rfmo,auth_status,potential_risk_flag,mpa_tier_weight,auth_multiplier,high_seas_mult,risk_flag_mult,risk_score
086dbea53-337b-14d3-f7cc-8a8d20af0f07,MYS LOVTSOVA,RUS,fishing,273895000,2022-12-31 08:28:16+00:00,2023-01-01 14:55:45+00:00,30.46,3.494,194.87,662.37,0.2457,52.6544,153.8999,164.0,141.41,0,0,0,0,['5690'],"['IWC', 'PICES', 'ACAP', 'WCPFC']",not_matching_relevant_public_authorization,0,1.0,2.0,1.0,1.0,2.0
40be06cce-ee7c-6699-4f07-96168c929265,2013 HYUN JIN HO,KOR,fishing,440154740,2022-12-31 08:28:34+00:00,2023-01-01 07:40:34+00:00,23.2,0.978,30.72,33.17,0.4453,34.3107,128.7426,41.0,33.37,0,0,0,0,['8327'],"['IWC', 'ACAP', 'WCPFC', 'PICES']",not_matching_relevant_public_authorization,0,1.0,2.0,1.0,1.0,2.0
f58109169-9128-f6a0-4a92-576f8c566b2c,ZHE XIANG YU 27009,CYP,fishing,212427009,2022-12-31 08:29:34+00:00,2023-01-01 15:05:47+00:00,30.6,2.83,149.59,4442.83,0.6295,29.5954,123.5859,108.0,82.6,0,0,0,0,['8486'],"['APFIC', 'WCPFC', 'IWC', 'ACAP']",not_matching_relevant_public_authorization,0,1.0,2.0,1.0,1.0,2.0
2391a052e-ed1f-49b7-5f21-569e2c0bc6dd,ZHE PING YU 80110,CHN,fishing,412433607,2022-12-31 07:59:12+00:00,2023-01-01 13:15:50+00:00,29.28,3.538,148.73,582.74,0.2315,28.6059,123.2837,96.0,94.31,0,0,0,0,['8486'],"['APFIC', 'ACAP', 'WCPFC', 'IWC']",not_matching_relevant_public_authorization,0,1.0,2.0,1.0,1.0,2.0
77891079c-c00e-1065-a749-49c28b62710c,MIN SUNG HO,KOR,fishing,440088510,2022-12-31 08:02:20+00:00,2023-01-01 04:07:09+00:00,20.08,0.828,14.57,13.45,0.4008,34.2294,128.113,38.0,29.04,0,0,0,0,['8327'],"['WCPFC', 'ACAP', 'IWC', 'PICES']",not_matching_relevant_public_authorization,0,1.0,2.0,1.0,1.0,2.0
1ecdf1b28-80b1-738d-daee-9badb2fbc797,2021 DONG WON,KOR,fishing,440148360,2022-12-31 08:36:34+00:00,2023-01-01 07:42:18+00:00,23.1,1.032,28.78,76.77,0.5034,34.2088,128.6702,47.0,44.94,0,0,0,0,['8327'],"['ACAP', 'WCPFC', 'IWC', 'PICES']",not_matching_relevant_public_authorization,0,1.0,2.0,1.0,1.0,2.0
722c5a77d-d6a3-da34-9c8f-1c298c79a31a,LUJIAOYU60532,CHN,fishing,412349788,2022-12-31 08:36:43+00:00,2023-01-01 00:12:16+00:00,15.59,1.185,10.12,3.26,0.3182,35.4913,120.6552,50.0,37.28,0,0,0,0,['8486'],"['PICES', 'IWC', 'WCPFC', 'ACAP']",not_matching_relevant_public_authorization,0,1.0,2.0,1.0,1.0,2.0
d62fdd117-7197-2d3c-31af-b7a6b79764e0,RISHENG 606,,fishing,900028977,2022-12-31 08:38:19+00:00,2023-01-01 00:03:41+00:00,15.42,3.496,89.26,72.81,0.1874,20.4327,-17.4112,61.0,60.81,0,0,0,0,['8369'],"['IWC', 'NAMMCO', 'SRFC', 'ICCAT', 'ACAP']",not_matching_relevant_public_authorization,0,1.0,2.0,1.0,1.0,2.0
18469f766-6201-2aab-b756-fc064c6cb02f,CHANGHONG 6,CHN,fishing,413880223,2022-12-31 08:39:02+00:00,2023-01-01 00:53:09+00:00,16.24,2.752,77.35,49.85,0.1295,35.078,119.6108,22.0,1.11,0,0,0,0,['8486'],"['IWC', 'WCPFC', 'PICES', 'ACAP']",not_matching_relevant_public_authorization,0,1.0,2.0,1.0,1.0,2.0
c834d7a25-5919-4524-262e-ef1c09f67be0,LULANYU61861,CHN,fishing,412328582,2022-12-31 08:18:47+00:00,2023-01-01 00:30:39+00:00,16.2,2.091,66.89,301.97,0.3932,35.1757,120.0882,55.0,3.81,0,0,0,0,['8486'],"['ACAP', 'PICES', 'IWC', 'WCPFC']",not_matching_relevant_public_authorization,0,1.0,2.0,1.0,1.0,2.0
