speed,lat,lon,is_fishing,shiptype,label
2.7000000477,38.0571861267,-27.3703212738,1.0,unknown,1
6.6999998093,23.3034725189,-16.5211677551,1.0,trawlers,1
4.4000000954,2.8183333874,-158.5856628418,1.0,drifting_longlines,1
3.4000000954000003,72.6255187988,6.5437116623,1.0,trawlers,1
3.7999999523,43.8799171448,13.2383871078,0.6666667,trawlers,1
8.3999996185,-45.0091018677,174.36070251459998,1.0,trawlers,1
0.8000000119,-22.4485187531,161.7855529785,1.0,drifting_longlines,1
1.7999999523,38.1080207825,-28.7362632751,1.0,unknown,1
4.1999998093,73.0081481934,31.3651428223,1.0,trawlers,1
7.599999904600001,63.8309135437,-57.0194587708,1.0,trawlers,1
1.5,-2.6711065769,173.4902191162,1.0,drifting_longlines,1
9.3999996185,-30.6944999695,39.4584999084,1.0,drifting_longlines,1
3.7000000477,43.9142990112,13.3761415482,0.25,unknown,1
3.0,73.7077102661,18.410861969000003,1.0,trawlers,1
2.0,72.53726959229999,7.759876728099999,1.0,trawlers,1
8.1000003815,41.0781745911,-8.846113205,1.0,fixed_gear,1
2.7999999523000003,57.8779182434,-173.3458862305,1.0,drifting_longlines,1
3.9000000954,69.5485458374,15.8787298203,1.0,trawlers,1
4.5,71.1379928589,22.7831268311,1.0,trawlers,1
1.0,33.042224884,-17.1275424957,1.0,unknown,1
6.400000095399999,-8.5775003433,-123.5856704712,1.0,drifting_longlines,1
0.0,37.7362365723,-25.6588459015,0.33333334,unknown,1
4.1999998093,-18.2743339539,37.8533325195,1.0,drifting_longlines,1
5.599999904600001,44.9903144836,13.3170032501,1.0,unknown,1
1.3999999762,-19.7657909393,2.9182500839,1.0,drifting_longlines,1
11.1000003815,-6.479050159500001,-28.6961326599,1.0,drifting_longlines,1
3.5999999046,42.6717338562,15.5184288025,1.0,unknown,1
9.6000003815,-20.3192672729,0.5713999867,1.0,drifting_longlines,1
0.6000000238000001,54.6158676147,8.165348052999999,1.0,trawlers,1
1.1000000238,75.2085113525,38.5767555237,1.0,unknown,1
5.5,55.473373413100006,14.2855081558,1.0,fixed_gear,1
8.1999998093,55.83121490479999,-163.1326599121,1.0,drifting_longlines,1
4.5,74.00638580319999,19.2688312531,1.0,trawlers,1
8.6000003815,44.0621948242,-1.6836800575,1.0,unknown,1
2.0999999046,53.5429229736,6.3859767914,1.0,unknown,1
0.8999999762,-10.5428333282,-113.6551742554,1.0,drifting_longlines,1
5.0,15.8868331909,-30.7441673279,1.0,drifting_longlines,1
0.8999999762,-20.257692337,165.9577789307,1.0,drifting_longlines,1
3.9000000954,69.9710769653,17.07629776,1.0,trawlers,1
8.8000001907,43.868976593,14.9238166809,1.0,unknown,1
0.8999999762,-23.4906768799,164.3598327637,1.0,drifting_longlines,1
5.0,-21.4706554413,163.7906494141,1.0,drifting_longlines,1
4.3000001907,76.1244354248,25.997812271100003,1.0,trawlers,1
6.8000001907000005,-23.3529415131,163.1043395996,1.0,drifting_longlines,1
1.2999999523,40.2582244873,23.1288337708,1.0,purse_seines,1
3.2000000477,-17.3463172913,4.4348664284,1.0,drifting_longlines,1
3.0,-5.869025230399999,157.1073150635,1.0,drifting_longlines,1
0.5,75.6614837646,39.7432022095,1.0,unknown,1
3.7000000477,-8.347970008899999,-19.6077461243,1.0,drifting_longlines,1
4.4000000954,-5.7316331863,161.8234100342,1.0,drifting_longlines,1
7.900000095399999,-27.8167591095,-133.6636657715,1.0,drifting_longlines,1
5.0999999046,-34.5803337097,26.1601657867,1.0,drifting_longlines,1
6.6999998093,43.565700531000005,29.0163726807,1.0,unknown,1
4.5,-27.9970169067,-122.3738098145,1.0,drifting_longlines,1
3.7999999523,-10.6551847458,163.5691070557,1.0,drifting_longlines,1
4.9000000954,53.6107559204,6.171913147000001,1.0,unknown,1
8.8000001907,35.9765396118,23.8722248077,1.0,fixed_gear,1
0.8999999762,43.6898651123,-5.5948214531,1.0,unknown,1
10.0,43.5948410034,13.5959882736,0.6666667,trawlers,1
4.1999998093,-10.0968332291,-113.7594909668,1.0,drifting_longlines,1
1.7000000477,67.5212097168,11.7789363861,1.0,unknown,1
4.1999998093,73.78515625,19.7535591125,1.0,trawlers,1
2.4000000954,36.4986724854,11.5759897232,1.0,trawlers,1
0.6000000238000001,-17.1058425903,179.7030029297,1.0,drifting_longlines,1
0.200000003,55.38885879520001,18.2872009277,1.0,fixed_gear,1
5.599999904600001,-39.6138916016,-80.2765884399,1.0,trawlers,1
5.0,7.551681518600001,161.7278747559,1.0,drifting_longlines,1
7.5,-28.8899993896,40.1608314514,1.0,drifting_longlines,1
10.8999996185,-34.8183326721,25.5001659393,1.0,drifting_longlines,1
1.5,5.9855999947,-22.872756958000004,1.0,drifting_longlines,1
4.0,73.9377593994,21.3454971313,1.0,trawlers,1
2.2999999523,62.1888809204,-30.5727024078,1.0,trawlers,1
3.0,63.7947654724,-57.9496269226,1.0,trawlers,1
6.8000001907000005,-17.057434082,8.9097661972,1.0,drifting_longlines,1
3.9000000954,76.7549057007,28.8329467773,1.0,trawlers,1
3.5999999046,54.5911064148,-8.305279731799999,1.0,trawlers,1
4.3000001907,42.5664787292,15.811396598800002,1.0,trawlers,1
3.5999999046,2.8211667538,-158.5648193359,1.0,drifting_longlines,1
8.3000001907,56.5786781311,-172.65901184080002,1.0,drifting_longlines,1
6.5,39.0009002686,8.475036621100001,1.0,unknown,1
